,code,term
72,78808002,Essential***REMOVED***hypertension***REMOVED***complicating***REMOVED***AND/OR***REMOVED***reason***REMOVED***for***REMOVED***care***REMOVED***during***REMOVED***pregnancy***REMOVED***(disorder)
73,91923005,Acquired***REMOVED***immunodeficiency***REMOVED***syndrome***REMOVED***virus***REMOVED***infection***REMOVED***associated***REMOVED***with***REMOVED***pregnancy***REMOVED***(disorder)
74,10755671000119100,Human***REMOVED***immunodeficiency***REMOVED***virus***REMOVED***in***REMOVED***mother***REMOVED***complicating***REMOVED***childbirth***REMOVED***(disorder)
75,721166000,Human***REMOVED***immunodeficiency***REMOVED***virus***REMOVED***complicating***REMOVED***pregnancy***REMOVED***childbirth***REMOVED***and***REMOVED***the***REMOVED***puerperium***REMOVED***(disorder)
76,449369001,Stopped***REMOVED***smoking***REMOVED***before***REMOVED***pregnancy***REMOVED***(finding)
77,449345000,Smoked***REMOVED***before***REMOVED***confirmation***REMOVED***of***REMOVED***pregnancy***REMOVED***(finding)
78,449368009,Stopped***REMOVED***smoking***REMOVED***during***REMOVED***pregnancy***REMOVED***(finding)
79,88144003,Removal***REMOVED***of***REMOVED***ectopic***REMOVED***interstitial***REMOVED***uterine***REMOVED***pregnancy***REMOVED***requiring***REMOVED***total***REMOVED***hysterectomy***REMOVED***(procedure)
80,240154002,Idiopathic***REMOVED***osteoporosis***REMOVED***in***REMOVED***pregnancy***REMOVED***(disorder)
81,956951000000104,Pertussis***REMOVED***vaccination***REMOVED***in***REMOVED***pregnancy***REMOVED***(procedure)
82,866641000000105,Pertussis***REMOVED***vaccination***REMOVED***in***REMOVED***pregnancy***REMOVED***declined***REMOVED***(situation)
83,956971000000108,Pertussis***REMOVED***vaccination***REMOVED***in***REMOVED***pregnancy***REMOVED***given***REMOVED***by***REMOVED***other***REMOVED***healthcare***REMOVED***provider***REMOVED***(finding)
84,169563005,Pregnant***REMOVED***-***REMOVED***on***REMOVED***history***REMOVED***(finding)
85,10231000132102,In-vitro***REMOVED***fertilization***REMOVED***pregnancy***REMOVED***(finding)
86,134781000119106,High***REMOVED***risk***REMOVED***pregnancy***REMOVED***due***REMOVED***to***REMOVED***recurrent***REMOVED***miscarriage***REMOVED***(finding)
87,16356006,Multiple***REMOVED***pregnancy***REMOVED***(disorder)
88,237239003,Low***REMOVED***risk***REMOVED***pregnancy***REMOVED***(finding)
89,276367008,Wanted***REMOVED***pregnancy***REMOVED***(finding)
90,314204000,Early***REMOVED***stage***REMOVED***of***REMOVED***pregnancy***REMOVED***(finding)
91,439311009,Intends***REMOVED***to***REMOVED***continue***REMOVED***pregnancy***REMOVED***(finding)
92,713575004,Dizygotic***REMOVED***twin***REMOVED***pregnancy***REMOVED***(disorder)
93,80997009,Quintuplet***REMOVED***pregnancy***REMOVED***(disorder)
94,1109951000000101,Pregnancy***REMOVED***insufficiently***REMOVED***advanced***REMOVED***for***REMOVED***reliable***REMOVED***antenatal***REMOVED***screening***REMOVED***(finding)
95,1109971000000105,Pregnancy***REMOVED***too***REMOVED***advanced***REMOVED***for***REMOVED***reliable***REMOVED***antenatal***REMOVED***screening***REMOVED***(finding)
96,237238006,Pregnancy***REMOVED***with***REMOVED***uncertain***REMOVED***dates***REMOVED***(finding)
