name,terminology,code,term,DiabetesType
diabetes_drugs,DMD,21245011000001106,Linagliptin 2.5mg / Metformin 1g tablets (product),general
diabetes_drugs,DMD,36047811000001104,Insulin lispro 100units/ml solution for injection 3ml pre-filled disposable devices (product),general
diabetes_drugs,DMD,4029411000001100,Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 3ml cartridges (C P Pharmaceuticals Ltd) (product),general
diabetes_drugs,DMD,11343511000001106,Glimepiride 3mg tablets (Sandoz Ltd) (product),general
diabetes_drugs,DMD,326056002,Product containing precisely rosiglitazone (as rosiglitazone maleate) 8 milligram/1 each conventional release oral tablet (clinical drug),general
diabetes_drugs,DMD,5269111000001104,Humalog Mix50 Pen 100units/ml suspension for injection 3ml pre-filled pens (Waymade Healthcare Plc) (product),general
diabetes_drugs,DMD,515111000001108,Glibenese 5mg tablets (Pfizer Ltd) (product),general
diabetes_drugs,DMD,8618911000001104,Metformin 850mg/5ml oral suspension (Special Order) (product),general
diabetes_drugs,DMD,8759611000001101,Metformin 850mg capsules (Special Order) (product),general
diabetes_drugs,DMD,35563111000001107,Insulin lispro 100units/ml solution for injection 3ml pre-filled pen (Sanofi Pasteur) (product),general
diabetes,SNOMED,190369008,Type 1 diabetes mellitus with gangrene,type1
diabetes,SNOMED,230579006,Diabetic thoracic radiculopathy,general
diabetes,SNOMED,10754881000119104,Diabetes mellitus in mother complicating childbirth (disorder),general
diabetes,SNOMED,367261000119100,Hyperosmolarity co-occurrent and due to drug induced diabetes mellitus (disorder),general
diabetes_drugs,DMD,21930011000001100,Tresiba FlexTouch 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd) (product),general
diabetes_drugs,DMD,20114811000001100,Januvia 50mg Tablets (Merck Sharp & Dohme Ltd) (product),general
diabetes_drugs,DMD,11494811000001109,Byetta 5micrograms/0.02ml solution for injection 1.2ml pre-filled pens (AstraZeneca UK Ltd) (product),general
diabetes_drugs,DMD,30175011000001102,Synjardy 12.5mg/850mg tablets (Boehringer Ingelheim Ltd) (product),general
diabetes_drugs,DMD,11118911000001106,Hypurin Bovine Neutral 100units/ml solution for injection 10ml vials (Waymade Ltd) (product),general
diabetes_drugs,DMD,14040211000001108,Actos 15mg tablets (Sigma Pharmaceuticals Plc) (product),general
diabetes_drugs,DMD,3472411000001104,Insulin isophane human 100units/ml suspension for injection 1.5ml cartridges (product),general
diabetes_drugs,DMD,903011000001101,Glibenclamide 5mg tablets (IVAX Pharmaceuticals UK Ltd) (product),general
diabetes_drugs,DMD,9763311000001104,Metformin 850mg tablets (The Boots Company) (product),general
diabetes_drugs,DMD,10617811000001106,Glimepiride 3mg tablets (Somex Pharma) (product),general
diabetes_drugs,DMD,17582711000001104,Amaryl 4mg tablets (Necessity Supplies Ltd) (product),general
diabetes_drugs,DMD,5465811000001107,Acarbose 50mg tablets (PI) (Dowelhurst Ltd) (product),general
diabetes_drugs,DMD,37636511000001108,Eucreas 50mg/1000mg tablets (Pilsco Ltd) (product),general
diabetes_drugs,DMD,21928511000001109,Tresiba Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd) (product),general
diabetes_drugs,DMD,33547711000001103,Metformin 850mg/5ml oral solution sugar free (Colonis Pharma Ltd) (product),general
diabetes_drugs,DMD,10617511000001108,Glimepiride 2mg tablets (Somex Pharma) (product),general
diabetes_drugs,DMD,13823911000001105,Actos 30mg tablets (Doncaster Pharmaceuticals Ltd) (product),general
diabetes_drugs,DMD,14380511000001100,NovoMix 30 FlexPen 100units/ml suspension for injection 3ml pre-filled pens (Sigma Pharmaceuticals Plc) (product),general
diabetes_drugs,DMD,18286111000001104,Humalog Mix50 100units/ml suspension for injection 3ml cartridges (Waymade Healthcare Plc) (product),general
diabetes_drugs,DMD,29986011000001101,Pioglitazone 30mg tablets (Sigma Pharmaceuticals Plc) (product),general
diabetes_drugs,DMD,38067111000001106,Insulin soluble human 1unit/ml solution for infusion 30ml pre-filled syringes (Special Order) (product),general
diabetes_drugs,DMD,14313211000001105,Diamicron 30mg MR tablets (Sigma Pharmaceuticals Plc) (product),general
diabetes_drugs,DMD,16007611000001109,Pioglitazone 15mg/5ml oral suspension (Special Order) (product),general
diabetes_drugs,DMD,3469511000001103,Insulin isophane biphasic human 10/90 100units/ml suspension for injection 3ml pre-filled disposable devices (product),general
diabetes_drugs,DMD,409361001,Metformin hydrochloride 750mg m/r tablet (product),general
diabetes_drugs,DMD,3468911000001102,Insulin aspart biphasic 30/70 100units/ml suspension for injection 3ml pre-filled disposable devices (product),general
diabetes_drugs,DMD,17916711000001106,Glimepiride 2mg tablets (Phoenix Healthcare Distribution Ltd) (product),general
diabetes_drugs,DMD,371419004,Insulin soluble bovine 100u/mL injection solution 1.5mL cartridge (product),general
diabetes_drugs,DMD,37990211000001103,Januvia 100mg tablets (Pharmaram Ltd) (product),general
diabetes_drugs,DMD,13721211000001103,Glimepiride 4mg tablets (Ranbaxy (UK) Ltd) (product),general
diabetes_drugs,DMD,14190111000001102,Humulin S 100units/ml solution for injection 10ml vials (Waymade Healthcare Plc) (product),general
diabetes_drugs,DMD,147811000001105,Tolbutamide 500mg tablets (Kent Pharmaceuticals Ltd) (product),general
diabetes_drugs,DMD,21111411000001109,Acarbose 50mg tablets (Actavis UK Ltd) (product),general
diabetes_drugs,DMD,21848511000001103,Pioglitazone 45mg tablets (Waymade Healthcare Plc) (product),general
diabetes_drugs,DMD,24380811000001101,Metformin 1g modified-release tablets (DE Pharmaceuticals) (product),general
diabetes_drugs,DMD,3270611000001101,Human Mixtard 50 100units/ml suspension for injection 10ml vials (Novo Nordisk Pharmaceuticals Ltd) (product),general
diabetes_drugs,DMD,8523911000001109,Glibenclamide 7.5mg/5ml oral solution (product),general
diabetes,SNOMED,421847006,Ketoacidotic coma in type II diabetes mellitus (disorder),type2
diabetes_drugs,DMD,13413111000001109,Metformin 850mg / Vildagliptin 50mg tablets (product),general
diabetes_drugs,DMD,3471611000001107,Insulin isophane biphasic human 50/50 100units/ml suspension for injection 3ml cartridges (product),general
diabetes_drugs,DMD,10542811000001106,Humalog 100units/ml solution for injection 10ml vials (PI) (Waymade Ltd) (product),general
diabetes_drugs,DMD,10445511000001107,Glimepiride 3mg tablets (Niche Generics Ltd) (product),general
diabetes_drugs,DMD,25290611000001102,Empagliflozin 25mg tablets (product),general
diabetes_drugs,DMD,23637311000001105,Alogliptin 12.5mg tablets (product),general
diabetes_drugs,DMD,16530311000001107,Humalog Mix25 100units/ml suspension for injection 10ml vials (Eli Lilly and Company Ltd) (product),general
diabetes_drugs,DMD,21203911000001104,Lantus 100units/ml solution for injection 3ml pre-filled SoloStar pens (Waymade Healthcare Plc) (product),general
diabetes_drugs,DMD,325111000,Insulin isophane human 100units/mL injection suspension 3mL cartridge (product),general
diabetes_drugs,DMD,11135411000001100,Human Mixtard 20 Penfill 100units/ml suspension for injection 1.5ml cartridges (Waymade Ltd) (product),general
diabetes_drugs,DMD,17940011000001100,Metformin 500mg tablets (Phoenix Healthcare Distribution Ltd) (product),general
diabetes_drugs,DMD,33428211000001102,Gliclazide 40mg tablets (Alliance Healthcare (Distribution) Ltd) (product),general
diabetes_drugs,DMD,8712011000001107,Tolbutamide 500mg/5ml oral suspension (Special Order) (product),general
diabetes_drugs,DMD,795311000001107,Metformin 850mg tablets (Generics (UK) Ltd) (product),general
diabetes_drugs,DMD,11018911000001102,Glimepiride 2mg tablets (Dr Reddys Labs) (product),general
diabetes_drugs,DMD,3471811000001106,Insulin isophane biphasic human 50/50 100units/ml suspension for injection 5ml vials (product),general
